geo_code;time;unemp_youth_t;gdp_gr;inv_per_empl;population_total_t;unemp_workagepop_t;emigration_t;immigration_t;location;geo_name
AT;1995; 5,9;NA;NA;NA; 4,4;NA;NA;Central;Austria
AT;1996; 6,9;NA;NA;NA; 5,3;NA;NA;Central;Austria
AT;1997; 7,6;NA;NA;NA; 5,2;NA;NA;Central;Austria
AT;1998; 7,5;NA;NA;NA; 5,5; 64272;  72723;Central;Austria
AT;1999; 5,9;NA;NA;NA; 4,7; 66923;  86710;Central;Austria
AT;2000; 6,3;NA;NA;NA; 4,7; 64472;  81676;Central;Austria
AT;2001; 6,0;NA;NA;NA; 4,0; 72654;  89928;Central;Austria
AT;2002; 7,2;NA;NA; 8063640; 4,9; 74831; 108125;Central;Austria
AT;2003; 7,5;NA;NA; 8100273; 4,8; 71996; 111869;Central;Austria
AT;2004;12,1;NA;NA; 8142573; 5,9; 71721; 122547;Central;Austria
AT;2005;11,0;NA;NA; 8201359; 5,7; 70133; 114465;Central;Austria
AT;2006; 9,8;NA;NA; 8254298; 5,3; 74432;  98535;Central;Austria
AT;2007; 9,4;  3,7;NA; 8282984; 4,9; 49898;  72862;Central;Austria
AT;2008; 8,5;  1,5;14,2; 8307989; 4,2; 51563;  73772;Central;Austria
AT;2009;10,7; -3,8;12,2; 8335003; 5,4; 53244;  69295;Central;Austria
AT;2010; 9,5;  1,8;12,3; 8351643; 4,9; 51651;  70978;Central;Austria
AT;2011; 8,9;  2,9;12,5; 8375164; 4,6; 51197;  82230;Central;Austria
AT;2012; 9,4;  0,7;12,1; 8408121; 4,9; 51812;  91557;Central;Austria
AT;2013; 9,7;  0,0;12,2; 8451860; 5,4; 54071; 101866;Central;Austria
AT;2014;10,3;  0,7;11,2; 8507786; 5,7; 53491; 116262;Central;Austria
AT;2015;10,6;  1,1;11,6; 8584926; 5,8; 56689; 166323;Central;Austria
AT;2016;11,2;  2,0;11,9; 8700471; 6,1; 64428; 129509;Central;Austria
AT;2017; 9,8;  2,6;NA; 8772865; 5,6; 66144; 111801;Central;Austria
AT;2018; 9,4;  2,7;NA; 8822267; 4,9;NA;NA;Central;Austria
BE;1992;NA;NA;NA;NA;NA;NA;NA;West;Belgium
BE;1993;NA;NA;NA;NA;NA;NA;NA;West;Belgium
BE;1994;NA;NA;NA;NA;NA;NA;NA;West;Belgium
BE;1995;21,5;NA;NA;NA; 9,4;NA;NA;West;Belgium
BE;1996;20,5;NA;NA;NA; 9,5;NA;NA;West;Belgium
BE;1997;21,3;NA;NA;NA; 9,0;NA;NA;West;Belgium
