record_id,entry_type,event_description,type,country,target_country,target_direction,compliance,date_announced,link,ISO_A3,ISO_A2,severity_index,lat,lng
3328543,New Entry,"Afghanistan's Ministry of Public Health ""assigned health teams for screening of the passengers in the National Airports and borders entry points"" from Feb. 12.",Health Testing,Afghanistan,"Afghanistan,China,Iran,Italy,South Korea",Inbound,NA,12/02/2020,https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19,AFG,AF,-1.498437614,33.93911,67.709953
2776912,New Entry,"Afghanistan ""established specific areas for quarantine in Kabul and in the provinces for the control of COVID-19"" from Feb. 12.",Other Policy Not Listed Above,Afghanistan,,,NA,12/02/2020,https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19,AFG,AF,-1.498437614,33.93911,67.709953
9286791,New Entry,"Afghanistan ""established inter sectorial committees and emergency committees"" on Feb. 12.",New Task Force or Bureau,Afghanistan,,,NA,12/02/2020,https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19,AFG,AF,-1.498437614,33.93911,67.709953
1772449,New Entry,"Afghanistan initiated plans to create awareness campaigns to create more awareness about Covid-19 among the Afghan populations, from Feb. 12.",Public Awareness Campaigns,Afghanistan,,,Voluntary/Recommended but No Penalties,12/02/2020,https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19,AFG,AF,-1.498437614,33.93911,67.709953
3328543,Correction to Existing Entry (type in Record ID in text box),"Afghanistan ""Assigned health teams for screening of the passengers in the National Airports and borders entry points""
In addition, ""All passengers who have traveled to China, Iran, Italy, or South Korea during the one month prior to arrival in Afghanistan are separated from other passengers, checked for symptoms of COVID-19, and those with symptoms will be taken directly to a designated hospital for testing""",Health Testing,Afghanistan,"Afghanistan,China,Iran,Italy,South Korea",Inbound,Mandatory with Exceptions (Please list exceptions in the text entry),12/02/2020,https://af.usembassy.gov/covid-19-information/,AFG,AF,-1.498437614,33.93911,67.709953
2917567,New Entry,"""Afghanistan’s national security council announced on [02-24-2020] that all air travel to and from Iran had been suspended and borders had been closed""",External Border Restrictions,Afghanistan,Iran,Inbound/Outbound,NA,24/02/2020,https://www.theguardian.com/global-development/2020/feb/26/coronavirus-in-a-war-zone-afghanistan-braces-for-outbreak-after-first-case,AFG,AF,-1.192214725,33.93911,67.709953
9422520,New Entry,"Afghanistan's national security council ""announced on [03-12-2020] that the festival would not be publicly observed this year as the World Health Organization (WHO) described COVID-19 as a pandemic -- suggesting the disease was spreading across the globe, for the first time on Wednesday.""",Restrictions of Mass Gatherings,Afghanistan,,,NA,12/03/2020,https://www.aa.com.tr/en/asia-pacific/coronavirus-afghanistan-scraps-annual-nevruz-festival/1763830,AFG,AF,-1.067874068,33.93911,67.709953
8921750,New Entry,"""In addition to the National Public Health Lab in Kabul, an additional lab in Herat begin COVID-19 testing on March 22, and a lab in Mazar-e-Sharif is planned to begin operations next week. Total testing capacity once the additional labs are operating is expected to be 150-250 tests/day.""",Health Testing,Afghanistan,Afghanistan,Inbound/Outbound,NA,22/03/2020,https://af.usembassy.gov/covid-19-information/,AFG,AF,-0.747736011,33.93911,67.709953
6471314,New Entry,"""The government has allocated $25 million in the budget to cover immediate expenses related to the epidemic. It is monitoring the situation closely and working on additional fiscal and support measures to be activated in response to the developing situation.""",Other Policy Not Listed Above,Afghanistan,,,NA,23/03/2020,https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19,AFG,AF,-0.663314694,33.93911,67.709953
2874945,New Entry,"Afghanistan enforced lockdown in ""Kabul city, Herat, Farah, and Zaranj city in Nimroz"". The lockdown was enforced ""until further notice"". The lockdown entails day-time curfew (hours uncertain).",Curfew,Afghanistan,,,NA,25/03/2020,https://www.aa.com.tr/en/asia-pacific/covid-19-afghanistan-lockdowns-frontline-provinces/1779209#,AFG,AF,-0.405169277,33.93911,67.709953
